file	source	git_blob_sha
0020c0eb194e__emptiesvoid-cloud__calculix_affine.frd	https://github.com/emptiesvoid-cloud/QF_solver/blob/HEAD/qualification/0_2_7/external_oracles/wedge6/results/calculix_affine.frd	0020c0eb194e17d08d5e992279bd969e2941a932
0026e8a0d5fd__romain-o__GF180-4_0deg.frd	https://github.com/romain-o/FindMyCrossover/blob/HEAD/data/Woofers/FRD/0deg/GF180-4_0deg.frd	0026e8a0d5fd274f32ecbd20f313e694b250b69b
0056a64af8b0__romain-o__RS100-4_30deg.frd	https://github.com/romain-o/FindMyCrossover/blob/HEAD/data/Woofers/FRD/30deg/RS100-4_30deg.frd	0056a64af8b0e8124237ebe7beb86901abdbc8ab
007b0eddb4cf__lpaiu-cs__8834_apollo15_crd_250308_1822_0.frd	https://github.com/lpaiu-cs/self-mass-unobservability/blob/HEAD/data/request4_llr/monthly_split_probe_apollo15_202503/8834_apollo15_crd_250308_1822_0.frd	007b0eddb4cfdf1db3ec1f7e33d834c521dc5038
00ec3ce0b1ed__Alex-tru__conv_limit_1e-04_beam1.frd	https://github.com/Alex-tru/MSc-Thesis/blob/HEAD/test/conv_studies/convergence_limit/convergence_limit_dt2e-02/conv_limit_1e-04_beam1.frd	00ec3ce0b1edf564e2840117c44f6a960d7e5d8d
0152416c5788__romain-o__DA135-8_15deg.frd	https://github.com/romain-o/FindMyCrossover/blob/HEAD/data/Woofers/FRD/15deg/DA135-8_15deg.frd	0152416c57889340de3cbf0b7431eb5c3f92319e
01f393ecbc60__mbrennwa__SPL_OUTDOOR_R2904WG148_30deg_outside.frd	https://github.com/mbrennwa/osmcdoc/blob/HEAD/plots/osmc_analysis/data_outdoor/outdoor_20181227/SPL_OUTDOOR_R2904WG148_30deg_outside.FRD	01f393ecbc608a5534897da1ea2909bc7870370d
02aa6e011ba9__lpaiu-cs__8834_apollo15_crd_250307_1843_0.frd	https://github.com/lpaiu-cs/self-mass-unobservability/blob/HEAD/data/request4_llr/monthly_split_probe_apollo15_202503/8834_apollo15_crd_250307_1843_0.frd	02aa6e011ba9703fa579c5d2dfc65adc37e2ce22
02abdd3c964c__lpaiu-cs__probe.frd	https://github.com/lpaiu-cs/self-mass-unobservability/blob/HEAD/data/request4_llr/mlrs_handshake_lab/data/state_seam_probe/s25y11d016t0231#103/state_shift_p0.010m/probe.frd	02abdd3c964c8bdb0aaa2b6281c7b2310ad13196
02abdd3c964c__lpaiu-cs__probe.frd	https://github.com/lpaiu-cs/self-mass-unobservability/blob/HEAD/data/request4_llr/mlrs_handshake_lab/data/sundriven_state_probe/s25y11d016t0231#103/sun_shift_p0.005m/probe.frd	02abdd3c964c8bdb0aaa2b6281c7b2310ad13196
02abdd3c964c__lpaiu-cs__probe.frd	https://github.com/lpaiu-cs/self-mass-unobservability/blob/HEAD/data/request4_llr/mlrs_handshake_lab/data/sundriven_state_probe/s25y11d016t0231#103/sun_shift_p0.010m/probe.frd	02abdd3c964c8bdb0aaa2b6281c7b2310ad13196
02abdd3c964c__lpaiu-cs__probe.frd	https://github.com/lpaiu-cs/self-mass-unobservability/blob/HEAD/data/request4_llr/mlrs_handshake_lab/data/weakfield_physics_probe/s25y11d016t0231#103/sigma1_m0.001/probe.frd	02abdd3c964c8bdb0aaa2b6281c7b2310ad13196
02abdd3c964c__lpaiu-cs__probe.frd	https://github.com/lpaiu-cs/self-mass-unobservability/blob/HEAD/data/request4_llr/mlrs_handshake_lab/data/weakfield_physics_probe/s25y11d016t0231#103/sigma1_p0.001/probe.frd	02abdd3c964c8bdb0aaa2b6281c7b2310ad13196
02abdd3c964c__matthewsmawfield__s25y11d016t0231#103.frd	https://github.com/matthewsmawfield/TEP-LLR/blob/HEAD/data/raw/MLRS_Lunar_Code/data/analysis/ref/s25y11d016t0231#103.frd	02abdd3c964c8bdb0aaa2b6281c7b2310ad13196
02abdd3c964c__matthewsmawfield__s25y11d016t0231#103.frd	https://github.com/matthewsmawfield/TEP-LLR/blob/HEAD/data/raw/MLRS_Lunar_Code/data/analysis/s25y11d016t0231#103.frd	02abdd3c964c8bdb0aaa2b6281c7b2310ad13196
02bf2adcf98c__derpaule__20200529xSAXxNBxRBDHisxCOMPx0501_003.frd	https://github.com/derpaule/Ty1_octet_itc/blob/HEAD/data_octet/20200529xSAXxNBxRBDHisxCOMPx0501/20200529xSAXxNBxRBDHisxCOMPx0501_003.frd	02bf2adcf98c4cfee762c5f19e90f22aa363afec
03abd013fc3d__Alex-tru__conv_limit_1e-03_beam1.frd	https://github.com/Alex-tru/MSc-Thesis/blob/HEAD/test/conv_studies/convergence_limit/convergence_limit_dt2e-02/conv_limit_1e-03_beam1.frd	03abd013fc3d7223a7a9369dc553345f2b41ddd4
045ea05ec168__DriftingOtter__Frequency_Response.frd	https://github.com/DriftingOtter/Project-Resonator/blob/HEAD/BA Driver Spec Sheets/Knowles_BK_26824/Frequency_Response.frd	045ea05ec16804c5f059f92c900094b89d7a301b
060f5b3ae372__Johnlon__SB21SDCN-C000-4_DIGITISED@30.frd	https://github.com/Johnlon/speaker/blob/HEAD/research/speakers/datafiles/SB21SDCN-C000-4/FRD/SB21SDCN-C000-4_DIGITISED@30.frd	060f5b3ae37291ec8f36a3960f22d84dbe407761
063b9fc24982__romain-o__TB-12-280-8-A_0deg.frd	https://github.com/romain-o/FindMyCrossover/blob/HEAD/data/Woofers/FRD/0deg/TB-12-280-8-A_0deg.frd	063b9fc249821acb89bbaf98e968922728c54d5d
06b8a7d335c8__romain-o__ND91-4_0deg.frd	https://github.com/romain-o/FindMyCrossover/blob/HEAD/data/Woofers/FRD/0deg/ND91-4_0deg.frd	06b8a7d335c8ec21624b05feb054558b22c2b58b
071de264eb34__Alex-tru__conv_limit_4e-02_beam2.frd	https://github.com/Alex-tru/MSc-Thesis/blob/HEAD/test/conv_studies/convergence_limit/convergence_limit_dt5e-02/conv_limit_4e-02_beam2.frd	071de264eb3472cdfc38f9a5c4d6eadbabdc0baf
07a631589bf0__calculix__result.frd	https://github.com/calculix/cgx_prool/blob/HEAD/cgx_2.10.1/examples/result.frd	07a631589bf0925ce740c575ab8a3fa290df7064
07a631589bf0__calculix__result.frd	https://github.com/calculix/cgx_prool/blob/HEAD/cgx_2.10/examples/result.frd	07a631589bf0925ce740c575ab8a3fa290df7064
07a631589bf0__calculix__result.frd	https://github.com/calculix/cgx_prool/blob/HEAD/cgx_2.11/examples/result.frd	07a631589bf0925ce740c575ab8a3fa290df7064
07a631589bf0__calculix__result.frd	https://github.com/calculix/cgx_prool/blob/HEAD/cgx_2.8/examples/result.frd	07a631589bf0925ce740c575ab8a3fa290df7064
07a631589bf0__calculix__result.frd	https://github.com/calculix/cgx_prool/blob/HEAD/cgx_2.9/examples/result.frd	07a631589bf0925ce740c575ab8a3fa290df7064
07f8a3025bca__Alex-tru__conv_limit_5e-02_beam2.frd	https://github.com/Alex-tru/MSc-Thesis/blob/HEAD/test/conv_studies/convergence_limit/convergence_limit_dt2e-02/conv_limit_5e-02_beam2.frd	07f8a3025bcac80c6d3c79b17bc76ef6e841be2f
083815da30b0__spolanski__fine-quad-hex.frd	https://github.com/spolanski/CoFEA/blob/HEAD/benchmarks/05-hemispherical-shell-point-load/model_setup/Model_Calculix/Results/fine-quad-hex/fine-quad-hex.frd	083815da30b0dc4108de19e9c72535ab5736a611
083af6406da2__mbrennwa__MonkeyCoffin20181229_12PR320_1m_hor_+75.frd	https://github.com/mbrennwa/osmcdoc/blob/HEAD/plots/raw_drivers/spliced_curves/MonkeyCoffin20181229_12PR320_1m_hor_+75.frd	083af6406da2ff3dddb44d86826ad702aae5b61a
083eed10b4f9__romain-o__ND105-4_15deg.frd	https://github.com/romain-o/FindMyCrossover/blob/HEAD/data/Woofers/FRD/15deg/ND105-4_15deg.frd	083eed10b4f93742e76376667940217fa48244db
087f06270514__romain-o__RC180-55_45deg.frd	https://github.com/romain-o/FindMyCrossover/blob/HEAD/data/Woofers/FRD/45deg/RC180-55_45deg.frd	087f06270514f7ba5a4b66d9711c11aba36058cf
08aeed480c9f__Taur-Tech__F144OB.frd	https://github.com/Taur-Tech/Project-Ryu---Loudspeaker-Drivers/blob/HEAD/Drivers/F144/models/F144OB/frd/F144OB.frd	08aeed480c9f59026904c36a5a79f2c5a7d253a5
08b9c709d1e6__StephenGhool__RS100-4@30.frd	https://github.com/StephenGhool/Speaker-Box-Design/blob/HEAD/Full-range/295-378--Dayton-Audio-RS100-4_data/FRD/RS100-4@30.frd	08b9c709d1e65e332c378e3bd8b39de054d854c0
0961682cacf0__rbkmoney__countGroupBy.frd	https://github.com/rbkmoney/fraudo/blob/HEAD/src/test/resources/rules/countGroupBy.frd	0961682cacf06fb1eb7a51066aa41bf3193df25f
0961682cacf0__rbkmoney__countGroupBy.frd	https://github.com/rbkmoney/fraudo/blob/HEAD/src/test/resources/rules/p2p/countGroupBy.frd	0961682cacf06fb1eb7a51066aa41bf3193df25f
0961682cacf0__valitydev__countGroupBy.frd	https://github.com/valitydev/fraudo/blob/HEAD/src/test/resources/rules/countGroupBy.frd	0961682cacf06fb1eb7a51066aa41bf3193df25f
0a1b770febdb__makkemal__Test_TotalStrain.frd	https://github.com/makkemal/NGIMASEM/blob/HEAD/Testprobs/Test_TotalStrain.frd	0a1b770febdbf358355ecdbf9b27f2beb2b72545
0a4c9b7edfc5__coldmayo__Morel_MDT40-spec.frd	https://github.com/coldmayo/KlaudSpeakerSim/blob/HEAD/src/driverFiles/Morel MDT40-spec.frd	0a4c9b7edfc5f7b3b6ec7681df802c9e292f15d0
0a9a6e59cecb__pierreaubert__Aalto_3_Passive_ver_-100.frd	https://github.com/pierreaubert/spinorama/blob/HEAD/datas/measurements/Aalto Speakers Aalto 3 Passive/vendor/Originals/Aalto 3 Passive ver -100.frd	0a9a6e59cecbc184b456c18627eec2fd3e7334ae
0ac37550840e__Bushi-Laodi__test1_Simulation_Case_calculix.frd	https://github.com/Bushi-Laodi/MyCAE/blob/HEAD/samples/projects/box_pressure_demo/solver/calculix/test1_Simulation_Case_20260525_174648_319/test1_Simulation_Case_calculix.frd	0ac37550840e7d018f0775365f70661e44eb2ad3
0b83b7cf0823__2832347486__thermomech_spine.frd	https://github.com/2832347486/free-cad/blob/HEAD/src/Mod/Fem/femtest/data/calculix/thermomech_spine.frd	0b83b7cf0823551d0e9e067813615d0b83b792ad
0b83b7cf0823__CPP-FreeCAD-Null-Pointer-Exception__thermomech_spine.frd	https://github.com/CPP-FreeCAD-Null-Pointer-Exception/FreeCAD/blob/HEAD/src/Mod/Fem/femtest/data/calculix/thermomech_spine.frd	0b83b7cf0823551d0e9e067813615d0b83b792ad
0b83b7cf0823__FynnFrei__thermomech_spine.frd	https://github.com/FynnFrei/pycad/blob/HEAD/FreeCAD 0.20/Mod/Fem/femtest/data/calculix/thermomech_spine.frd	0b83b7cf0823551d0e9e067813615d0b83b792ad
0b83b7cf0823__OldStreetll__thermomech_spine.frd	https://github.com/OldStreetll/FC0191/blob/HEAD/FreeCAD-0.19.1/src/Mod/Fem/femtest/data/calculix/thermomech_spine.frd	0b83b7cf0823551d0e9e067813615d0b83b792ad
0b83b7cf0823__Power-Progress-Community__spine_thermomech.frd	https://github.com/Power-Progress-Community/freecad-18/blob/HEAD/src/Mod/Fem/femtest/testfiles/ccx/spine_thermomech.frd	0b83b7cf0823551d0e9e067813615d0b83b792ad
0b83b7cf0823__Sino-Data__spine_thermomech.frd	https://github.com/Sino-Data/freecad/blob/HEAD/src/Mod/Fem/femtest/testfiles/ccx/spine_thermomech.frd	0b83b7cf0823551d0e9e067813615d0b83b792ad
0b83b7cf0823__Zaubentrucker__spine_thermomech.frd	https://github.com/Zaubentrucker/FreeCAD/blob/HEAD/src/Mod/Fem/femtest/data/ccx/spine_thermomech.frd	0b83b7cf0823551d0e9e067813615d0b83b792ad
0b83b7cf0823__berndhahnebach__spine_thermomech.frd	https://github.com/berndhahnebach/All_FreeCAD/blob/HEAD/src/Mod/Fem/femtest/data/ccx/spine_thermomech.frd	0b83b7cf0823551d0e9e067813615d0b83b792ad
0b83b7cf0823__felixlee868__thermomech_spine.frd	https://github.com/felixlee868/FreeCAD/blob/HEAD/src/Mod/Fem/femtest/data/calculix/thermomech_spine.frd	0b83b7cf0823551d0e9e067813615d0b83b792ad
0b83b7cf0823__merlinepedra__thermomech_spine.frd	https://github.com/merlinepedra/FREECAD/blob/HEAD/src/Mod/Fem/femtest/data/calculix/thermomech_spine.frd	0b83b7cf0823551d0e9e067813615d0b83b792ad
0b83b7cf0823__wsteffe__thermomech_spine.frd	https://github.com/wsteffe/layoutDD_FreeCAD/blob/HEAD/Mod/Fem/femtest/data/calculix/thermomech_spine.frd	0b83b7cf0823551d0e9e067813615d0b83b792ad
0b83b7cf0823__yorikvanhavre__spine_thermomech.frd	https://github.com/yorikvanhavre/FreeCAD-old/blob/HEAD/src/Mod/Fem/femtest/testfiles/ccx/spine_thermomech.frd	0b83b7cf0823551d0e9e067813615d0b83b792ad
0ddfee0b3449__romain-o__PS95-8_30deg.frd	https://github.com/romain-o/FindMyCrossover/blob/HEAD/data/Woofers/FRD/30deg/PS95-8_30deg.frd	0ddfee0b34498303a5fcd11bb73e3f9ee63325f3
0e31735f75e4__DAv-Project-Team-UADER__box_static.frd	https://github.com/DAv-Project-Team-UADER/DAV/blob/HEAD/FREECAD/src/Mod/Fem/femtest/data/calculix/box_static.frd	0e31735f75e433c42a39b0b752921bd1542d02f4
0e31735f75e4__Jiayinf__box_static.frd	https://github.com/Jiayinf/freeCAD/blob/HEAD/Build/Mod/Fem/femtest/data/calculix/box_static.frd	0e31735f75e433c42a39b0b752921bd1542d02f4
0e31735f75e4__Jiayinf__box_static.frd	https://github.com/Jiayinf/freeCAD/blob/HEAD/FreeCAD/src/Mod/Fem/femtest/data/calculix/box_static.frd	0e31735f75e433c42a39b0b752921bd1542d02f4
0e31735f75e4__githubgoog__box_static.frd	https://github.com/githubgoog/LinuxCAD/blob/HEAD/engine/src/Mod/Fem/femtest/data/calculix/box_static.frd	0e31735f75e433c42a39b0b752921bd1542d02f4
0e31735f75e4__snorkel-marlin-repos__box_static.frd	https://github.com/snorkel-marlin-repos/FreeCAD_FreeCAD_pr_22751_18e62b7f-b959-4468-9d44-a1456f9ebd49/blob/HEAD/src/Mod/Fem/femtest/data/calculix/box_static.frd	0e31735f75e433c42a39b0b752921bd1542d02f4
0e31735f75e4__snorkel-marlin-repos__box_static.frd	https://github.com/snorkel-marlin-repos/FreeCAD_FreeCAD_pr_22817_92c56470-fb7a-467e-8f6b-7f5429e3d7ee/blob/HEAD/src/Mod/Fem/femtest/data/calculix/box_static.frd	0e31735f75e433c42a39b0b752921bd1542d02f4
0e31735f75e4__snorkel-marlin-repos__box_static.frd	https://github.com/snorkel-marlin-repos/FreeCAD_FreeCAD_pr_22869_1c3d9a6c-7535-4474-ba36-0747579ce5b9/blob/HEAD/src/Mod/Fem/femtest/data/calculix/box_static.frd	0e31735f75e433c42a39b0b752921bd1542d02f4
