path	error
calculix__CalculiX-Examples/CAD/OnshapeTutorial/solve.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/CAD/OnshapeTutorial/all.msh'
calculix__CalculiX-Examples/CAD/Opt/Solve.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/CAD/Opt/all.msh'
calculix__CalculiX-Examples/Contact/CNC/solve.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Contact/CNC/all.msh'
calculix__CalculiX-Examples/Contact/Eyebar/eyebar.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Contact/Eyebar/all.msh'
calculix__CalculiX-Examples/Contact/Hertz_2D/Hertz.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Contact/Hertz_2D/all.msh'
calculix__CalculiX-Examples/Contact/Hertz_axi/Hertz.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Contact/Hertz_axi/all.msh'
calculix__CalculiX-Examples/Contact/Leafspring/solve.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Contact/Leafspring/all.msh'
calculix__CalculiX-Examples/Contact/Leafspring/solve_acd.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Contact/Leafspring/all.msh'
calculix__CalculiX-Examples/Contact/Penalty/solve.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Contact/Penalty/all.msh'
calculix__CalculiX-Examples/Contact/Shell0/equ.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Contact/Shell0/all.msh'
calculix__CalculiX-Examples/Contact/Shell0/pc-ns.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Contact/Shell0/all.msh'
calculix__CalculiX-Examples/Contact/Shell0/pc-ss.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Contact/Shell0/all.msh'
calculix__CalculiX-Examples/Contact/Shell0/tie.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Contact/Shell0/all.msh'
calculix__CalculiX-Examples/Contact/Shell1/tie.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Contact/Shell1/all.msh'
calculix__CalculiX-Examples/Contact/Tubes/solve.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Contact/Tubes/all.msh'
calculix__CalculiX-Examples/Contact/Valve/valve.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Contact/Valve/all.msh'
calculix__CalculiX-Examples/Drahtbiegen/Biegung/Biegung.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Drahtbiegen/Biegung/all.msh'
calculix__CalculiX-Examples/Drahtbiegen/Zug/Zug.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Drahtbiegen/Zug/all.msh'
calculix__CalculiX-Examples/Elements/Shell/shell.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Elements/Shell/all.msh'
calculix__CalculiX-Examples/Elements/Solid/solid.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Elements/Solid/all.msh'
calculix__CalculiX-Examples/Kasten/Kasten.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Kasten/all.msh'
calculix__CalculiX-Examples/Linear/BiaxBending/Biegung.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Linear/BiaxBending/all.msh'
calculix__CalculiX-Examples/Linear/Crack1/solve.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Linear/Crack1/all.msh'
calculix__CalculiX-Examples/Linear/L-Plate/solve.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Linear/L-Plate/all.msh'
calculix__CalculiX-Examples/Linear/Mesh1/modal.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Linear/Mesh1/all.msh'
calculix__CalculiX-Examples/Linear/PSE/solve.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Linear/PSE/all.msh'
calculix__CalculiX-Examples/Linear/Plates/plates.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Linear/Plates/all.msh'
calculix__CalculiX-Examples/Linear/Separate/element.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Linear/Separate/separate-nod.inc'
calculix__CalculiX-Examples/Linear/Separate/nodal.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Linear/Separate/all.msh'
calculix__CalculiX-Examples/Linear/ShearCenter/II.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Linear/ShearCenter/all.msh'
calculix__CalculiX-Examples/Linear/StressConc/Stress.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Linear/StressConc/all.msh'
calculix__CalculiX-Examples/Linear/StressConc1/Stress.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Linear/StressConc1/all.msh'
calculix__CalculiX-Examples/Linear/StressConc1/Stress1.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Linear/StressConc1/all.msh'
calculix__CalculiX-Examples/NonLinear/3PB/Biegung.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/NonLinear/3PB/all.msh'
calculix__CalculiX-Examples/NonLinear/Bolt/thermal.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/NonLinear/Bolt/bolt.msh'
calculix__CalculiX-Examples/NonLinear/Creep/solve.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/NonLinear/Creep/all.msh'
